noid,codigo_departamento,nombre_departamento,codigo_municipio,nombre_municipio,zona_postal,codigo_postal,limite_norte,limite_sur,limite_este,limite_oeste,tipo,barrios_contenidos_en_el_codigo_postal,veredas_contenidas_en_el_codigo_postal
1615,25,CUNDINAMARCA,25326,GUATAVITA,2510,251067,MUNICIPIO SESQUILÉ Y MACHETÁ,MUNICIPIO GUASCA,M. GACHETÁ Y JUNÍN,M. TOCANCIPA Y GACHANCIPA,Rural,Sin Informacion de Barrios,CANAVITA- CARBONERA ALTA-  CARBONERA BAJA-  CASADILLAS ALTO-  CHALECHE-  CHALECHE-  CHOCHE-  CORALES-  EL HATO-  EL ROBLE-  EMBALSE DE TOMINE-  ESMARALDA-  GOBERNADOR-  GUANDITA-  MATILLO-  MONTECILLO-  POTRERO LARGO-  SALINAS-  SAN BARTOLOME-  SANTA BARB
2709,66,RISARALDA,66075,BALBOA,6620,662017,MPIO. SANTUARIO Y LA CELIA,MPIO. ANSERMANUEVO Y PEREIRA,MPIO. SANTUARIO Y LA VIRGINIA,MPIO. LA CELIA Y EL AGUILA,Rural,Sin Informacion de Barrios,Cabecera Municipal- Calabazas-  Carminales Alto-  Carminales Bajo-  Cocohondo-  Corinto-  Cristales-  Cruces-  El Cedral-  El Chuscal-  El Manzano-  El Tambo-  El Vergel-  Granatal-  Guaimaral-  La Alejandría-  La Cancha Alta-  La Cascada-  La Ciénaga-  L
17,5,ANTIOQUIA,05001,MEDELLIN,500,50020,CL  49,KR 31- 28- CL  19A Y 19,KR  11C  Y  CL  44C,KR 30- 32 Y  CL 31A,Urbano,Bomboná No.2- Cataluña- La Milagrosa- Loreto- Los Cerros El Vergel- Miraflores,Sin Informacion de Veredas
2753,68,SANTANDER,68444,MATANZA,6805,680561,KR 1,KR 7,LIMITE URBANO,CL 10,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
3109,73,TOLIMA,73026,ALVARADO,7305,730527,Q/DA. LA CAIMA Y M. VENADILLO,MUNICIPIO PIEDRAS,MUNICIPIO PIEDRAS,MUNICIPIO IBAGUÉ,Rural,Sin Informacion de Barrios,La Chumba
2293,52,NARIÑO,52001,PASTO,5200,520008,MUNICIPIO CHACHAGUI Y BUESACO,LIMITE URBANO,RIO PERMANENTE,VIA PASTO - CHACHAGUI,Rural,Sin Informacion de Barrios,Palmas Alto- Tebaida
3330,76,VALLE DEL CAUCA,76243,EL AGUILA,7620,762007,Q/DA. YARUMO Y RÍO (PERMANENTE),MUNICIPIO ANSERMANUEVO,MPIO. LA CELIA Y BALBOA,MPIO. SAN JOSE DEL PALMAR,Rural,Sin Informacion de Barrios,La Pedrera
2893,68,SANTANDER,68418,LOS SANTOS,6840,684007,VÍA PIEDE.-PARQ. NAL. CHI.-ZAPA.,MPIO. ARATOCA Y JORDÁN,MUNICIPIO PIEDECUESTA,Q/DA. LOS SANTOS Y RÍO (PERMA.),Rural,Sin Informacion de Barrios,La Esperanza - El Duende- Los Cacaos
3150,73,TOLIMA,73349,HONDA,7320,732047,MUNICIPIO LA DORADA,LIMITE URBANO,MUNICIPIO GUADUAS,MUNICIPIO MARIQUITA,Rural,Sin Informacion de Barrios,San Antonio
1159,19,CAUCA,19548,PIENDAMO,1905,190548,RÍO (PERMANENTE),MUNICIPIO CAJIBÍO,VÍA MORALES-CAJIBÍO,MUNICIPIO CAJIBÍO,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
2601,54,NORTE DE SANTANDER,54261,EL ZULIA,5455,545518,QUEBRADA COLORADA,MPIO. SAN CAYETANO Y SANTIAGO,MUNICIPIO CÚCUTA,MPIO. SARDINATA Y GRAMALOTE,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
486,11,BOGOTA D.C.,11001,LOCALIDAD BOSA,1107,110731,RIO TUNJUELITO,DG 73F S  Y  KR 80I,AK  80,AK 77G  Y  M. SOACHA,Urbano,Antonia Santos- Argelia II- Bosa- El Jardín- Gran Colombiano- Islandia- Jiménez de Quesada- Los Laureles- Paso Ancho- San Bernardino I- San Diego Bosa,Sin Informacion de Veredas
2666,63,QUINDIO,63130,CALARCA,6320,632007,MUNICIPIO SALENTO,MPIO. CAICEDONIA- PIJAO Y BUENAVISTA,MPIO. CORDOBA Y RÍO SANTO DOMINGO,MPIO. ARMENIA Y LA TEBAIDA,Rural,Ladrilleras- Los Tanques,Chaguala- El Castillo
2460,52,NARIÑO,52418,LOS ANDES,5265,526529,MUNICIPIO BARBACOAS,MUNICIPIO LA LLANADA,M. CUMBITARA Y RÍO (PERMANENTE),MUNICIPIO LA LLANADA,Rural,Sin Informacion de Barrios,Buena Vista- El Campanario-  El Caucho-  El Palmar-  Guadualito-  La Floresta-  Santa Helena
419,8,ATLANTICO,08849,USIACURI,820,82067,M JUAN DE ACOSTA,MUNICIPIO SABANALARGA,MUNICIPIO BARANOA,MUNICIPIO PIOJO,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
3295,76,VALLE DEL CAUCA,76606,RESTREPO,7605,760547,MUNICIPIO CALIMA,MUNICIPIO LA CUMBRE,RÍO (PERMANENTE) Y LIM. URB.,MUNICIPIO DAGUA,Rural,Sin Informacion de Barrios,Agua Linda- Agua Mona-  Altos de Zabaleta-  Bajo Zabaleta-  Buen Vivir-  Cabecera Municipal-  Calimita-  El Diamante-  El Silencio-  Italia-  La Albania-  La Belmira-  La Guaira-  La Palma-  Madroñal-  Playa Rica-  Potrerillo-  Puente Tierra-  Río Bravo-
1238,19,CAUCA,19585,PURACE,1930,193008,MPIO. POPAYÁN Y TOTORÓ,M. ISNOS Y SALADOBLANCO,CERRO DE PAN DE AZUCAR Y RÍO (PER.),QUEBRADA ANAMBIO,Rural,Sin Informacion de Barrios,Sin Informacion de Veredas
2591,54,NORTE DE SANTANDER,54673,SAN CAYETANO,5450,545010,LIMITE URBANO,CL 12,LIMITE URBANO,KR 10,Urbano,Sin Informacion de Barrios,Sin Informacion de Veredas
